Id,Label,Name,Wikidata ID,Entitätstyp,Geburtsdatum,Sterbedatum,GND ID
525,Leopold Messerschmidt,Leopold Messerschmidt,http://www.wikidata.org/wiki/Q1819766,Person,1870-08-29T00:00:00Z,1911-03-10T00:00:00Z,https://d-nb.info/gnd/1033347426
526,Liane Jakob-Rost,Liane Jakob-Rost,http://www.wikidata.org/wiki/Q1822702,Person,1928-01-01T00:00:00Z,,https://d-nb.info/gnd/107502038
527,Matthew Stolper,Matthew Stolper,http://www.wikidata.org/wiki/Q1909619,Person,1944-01-01T00:00:00Z,,https://d-nb.info/gnd/1052683118
528,Reginald Campbell Thompson,Reginald Campbell Thompson,http://www.wikidata.org/wiki/Q1918460,Person,1876-08-21T00:00:00Z,1941-05-23T00:00:00Z,https://d-nb.info/gnd/115627065
529,Henri de Genouillac,Henri de Genouillac,http://www.wikidata.org/wiki/Q2395015,Person,1881-03-15T00:00:00Z,1940-11-20T00:00:00Z,https://d-nb.info/gnd/139064532
530,Simo Parpola,Simo Parpola,http://www.wikidata.org/wiki/Q2404090,Person,1943-07-04T00:00:00Z,,https://d-nb.info/gnd/138568782
531,Wilfred G. Lambert,Wilfred G. Lambert,http://www.wikidata.org/wiki/Q2571034,Person,1926-02-26T00:00:00Z,2011-11-09T00:00:00Z,https://d-nb.info/gnd/1048497208
532,Albert Kirk Grayson,Albert Kirk Grayson,http://www.wikidata.org/wiki/Q2638289,Person,1935-01-01T00:00:00Z,,https://d-nb.info/gnd/113099169
533,Hayim Tadmor,Hayim Tadmor,http://www.wikidata.org/wiki/Q2909659,Person,1923-11-18T00:00:00Z,2005-12-11T00:00:00Z,https://d-nb.info/gnd/119010534
534,Henri Pognon,Henri Pognon,http://www.wikidata.org/wiki/Q3131806,Person,1853-05-13T00:00:00Z,1921-03-16T00:00:00Z,https://d-nb.info/gnd/116250968
535,Henri de Contenson,Henri de Contenson,http://www.wikidata.org/wiki/Q3132254,Person,1926-03-04T00:00:00Z,2019-09-08T00:00:00Z,
536,Pierre Amiet,Pierre Amiet,http://www.wikidata.org/wiki/Q64173705,Person,1922-04-29T00:00:00Z,2021-04-21T00:00:00Z,https://d-nb.info/gnd/118882864
537,Harald Hauptmann,Harald Hauptmann,http://www.wikidata.org/wiki/Q96344,Person,1936-04-19T00:00:00Z,2018-08-02T00:00:00Z,https://d-nb.info/gnd/122973283
538,Caspar Levias,Caspar Levias,http://www.wikidata.org/wiki/Q2941157,Person,1860-02-13T00:00:00Z,1934-02-18T00:00:00Z,https://d-nb.info/gnd/1055431713
539,René Dussaud,René Dussaud,http://www.wikidata.org/wiki/Q347579,Person,1868-12-24T00:00:00Z,1958-03-17T00:00:00Z,https://d-nb.info/gnd/1012003140
540,Burkhart Kienast,Burkhart Kienast,http://www.wikidata.org/wiki/Q18575875,Person,1929-07-03T00:00:00Z,2014-11-17T00:00:00Z,https://d-nb.info/gnd/124905749
541,Igor M. Diakonoff,Igor M. Diakonoff,http://www.wikidata.org/wiki/Q447180,Person,1914-12-30T00:00:00Z,1999-05-02T00:00:00Z,https://d-nb.info/gnd/120868008
542,Louis Bazin,Louis Bazin,http://www.wikidata.org/wiki/Q3261196,Person,1920-12-29T00:00:00Z,2011-03-02T00:00:00Z,https://d-nb.info/gnd/1055763503
543,Christoph Krehl,Christoph Krehl,http://www.wikidata.org/wiki/Q10860967,Person,1825-06-29T00:00:00Z,1901-05-15T00:00:00Z,https://d-nb.info/gnd/116514477
544,Enno Littmann,Enno Littmann,http://www.wikidata.org/wiki/Q95229,Person,1875-09-16T00:00:00Z,1958-05-04T00:00:00Z,https://d-nb.info/gnd/11872858X
545,Wilhelm Spiegelberg,Wilhelm Spiegelberg,http://www.wikidata.org/wiki/Q100547,Person,1870-06-25T00:00:00Z,1930-12-23T00:00:00Z,https://d-nb.info/gnd/118616188
546,Albert Thumb,Albert Thumb,http://www.wikidata.org/wiki/Q1714002,Person,1865-05-18T00:00:00Z,1915-08-14T00:00:00Z,https://d-nb.info/gnd/117360120
547,Ulrich Hausmann,Ulrich Hausmann,http://www.wikidata.org/wiki/Q2475922,Person,1917-08-13T00:00:00Z,1996-01-19T00:00:00Z,https://d-nb.info/gnd/118547151
548,Ruth Mayer-Opificius,Ruth Mayer-Opificius,http://www.wikidata.org/wiki/Q27055516,Person,1928-09-23T00:00:00Z,2006-08-03T00:00:00Z,https://d-nb.info/gnd/172298679
549,Paul E. Kahle,Paul E. Kahle,http://www.wikidata.org/wiki/Q70136,Person,1875-01-21T00:00:00Z,1964-09-24T00:00:00Z,https://d-nb.info/gnd/118714678
550,Asger Aaboe,Asger Aaboe,http://www.wikidata.org/wiki/Q724489,Person,1922-04-26T00:00:00Z,2007-01-19T00:00:00Z,https://d-nb.info/gnd/133578771
551,William F. Albright,William F. Albright,http://www.wikidata.org/wiki/Q451799,Person,1891-05-24T00:00:00Z,1971-09-19T00:00:00Z,https://d-nb.info/gnd/118644408
552,François-Maurice Allotte de La Fuÿe,François-Maurice Allotte de La Fuÿe,http://www.wikidata.org/wiki/Q15617126,Person,1844-11-06T00:00:00Z,1939-02-13T00:00:00Z,https://d-nb.info/gnd/116287829
553,Bendt Alster,Bendt Alster,http://www.wikidata.org/wiki/Q59526482,Person,1946-07-26T00:00:00Z,2012-04-30T00:00:00Z,https://d-nb.info/gnd/1137504269
554,Michael C. Astour,Michael C. Astour,http://www.wikidata.org/wiki/Q3856127,Person,1916-12-17T00:00:00Z,2004-10-07T00:00:00Z,https://d-nb.info/gnd/12060079X
555,Edgar James Banks,Edgar James Banks,http://www.wikidata.org/wiki/Q5337311,Person,1866-05-23T00:00:00Z,1945-05-05T00:00:00Z,https://d-nb.info/gnd/1104188066
556,Richard David Barnett,Richard David Barnett,http://www.wikidata.org/wiki/Q4954616,Person,1909-01-23T00:00:00Z,1986-07-29T00:00:00Z,https://d-nb.info/gnd/139414975
557,George Aaron Barton,George Aaron Barton,http://www.wikidata.org/wiki/Q5536028,Person,1859-01-01T00:00:00Z,1942-01-01T00:00:00Z,https://d-nb.info/gnd/105532027X
558,Kurt Bittel,Kurt Bittel,http://www.wikidata.org/wiki/Q99134,Person,1907-07-05T00:00:00Z,1991-01-30T00:00:00Z,https://d-nb.info/gnd/118663569
559,Alfred Boissier,Alfred Boissier,http://www.wikidata.org/wiki/Q55771044,Person,1867-01-01T00:00:00Z,1945-01-01T00:00:00Z,https://d-nb.info/gnd/116233931
560,Robert John Braidwood,Robert John Braidwood,http://www.wikidata.org/wiki/Q933418,Person,1907-07-29T00:00:00Z,2003-01-15T00:00:00Z,https://d-nb.info/gnd/1023733404
561,James Henry Breasted,James Henry Breasted,http://www.wikidata.org/wiki/Q365982,Person,1865-08-27T00:00:00Z,1935-12-02T00:00:00Z,https://d-nb.info/gnd/118659936
562,E. A. Wallis Budge,E. A. Wallis Budge,http://www.wikidata.org/wiki/Q2316289,Person,1857-07-27T00:00:00Z,1934-11-23T00:00:00Z,https://d-nb.info/gnd/115102949
563,George Glenn Cameron,George Glenn Cameron,http://www.wikidata.org/wiki/Q59629110,Person,1905-07-30T00:00:00Z,1979-09-14T00:00:00Z,https://d-nb.info/gnd/118931741
564,Richard Caplice,Richard Caplice,http://www.wikidata.org/wiki/Q85692871,Person,1931-01-01T00:00:00Z,2011-01-01T00:00:00Z,https://d-nb.info/gnd/1037238672
565,Guillaume Cardascia,Guillaume Cardascia,http://www.wikidata.org/wiki/Q1553857,Person,1914-07-31T00:00:00Z,2006-09-27T00:00:00Z,https://d-nb.info/gnd/119299526
566,Viktor Christian,Viktor Christian,http://www.wikidata.org/wiki/Q4501432,Person,1885-03-30T00:00:00Z,1963-05-28T00:00:00Z,https://d-nb.info/gnd/116509171
567,James Alexander Craig,James Alexander Craig,http://www.wikidata.org/wiki/Q95261461,Person,1855-03-02T00:00:00Z,1932-05-16T00:00:00Z,https://d-nb.info/gnd/116707089
568,Peter Damerow,Peter Damerow,http://www.wikidata.org/wiki/Q2074459,Person,1939-12-20T00:00:00Z,2011-11-20T00:00:00Z,https://d-nb.info/gnd/12127134X
569,Anton Deimel,Anton Deimel,http://www.wikidata.org/wiki/Q109052,Person,1865-12-05T00:00:00Z,1954-08-07T00:00:00Z,https://d-nb.info/gnd/116055170
570,Karlheinz Deller,Karlheinz Deller,http://www.wikidata.org/wiki/Q15449572,Person,1927-02-21T00:00:00Z,2003-12-20T00:00:00Z,https://d-nb.info/gnd/118847236
571,Pinhas Pierre Delougaz,Pinhas Pierre Delougaz,http://www.wikidata.org/wiki/Q24038400,Person,1901-07-16T00:00:00Z,1975-03-29T00:00:00Z,
572,Henry Field,Henry Field,http://www.wikidata.org/wiki/Q15130478,Person,1902-12-15T00:00:00Z,1986-01-04T00:00:00Z,https://d-nb.info/gnd/124529801
573,Hugo Heinrich Figulla,Hugo Heinrich Figulla,http://www.wikidata.org/wiki/Q59631449,Person,1885-12-27T00:00:00Z,1969-02-06T00:00:00Z,https://d-nb.info/gnd/1050469046
574,André Finet,André Finet,http://www.wikidata.org/wiki/Q55994770,Person,1922-01-01T00:00:00Z,2007-01-01T00:00:00Z,https://d-nb.info/gnd/131717138
575,Henri Frankfort,Henri Frankfort,http://www.wikidata.org/wiki/Q958310,Person,1897-02-24T00:00:00Z,1954-07-16T00:00:00Z,https://d-nb.info/gnd/116717238
576,Robert Francis Harper,Robert Francis Harper,http://www.wikidata.org/wiki/Q18911460,Person,1864-01-01T00:00:00Z,1914-01-01T00:00:00Z,https://d-nb.info/gnd/116483954
577,Walther Hinz,Walther Hinz,http://www.wikidata.org/wiki/Q106038,Person,1906-11-19T00:00:00Z,1992-04-12T00:00:00Z,https://d-nb.info/gnd/10203642X
578,Blahoslav Hruška,Blahoslav Hruška,http://www.wikidata.org/wiki/Q881095,Person,1945-05-05T00:00:00Z,2008-06-26T00:00:00Z,https://d-nb.info/gnd/1019023538
579,Kurt Jaritz,Kurt Jaritz,http://www.wikidata.org/wiki/Q113783586,Person,1926-01-01T00:00:00Z,1999-01-01T00:00:00Z,https://d-nb.info/gnd/101734793X
580,Tom Bard Jones,Tom Bard Jones,http://www.wikidata.org/wiki/Q113399676,Person,1909-01-01T00:00:00Z,1999-01-01T00:00:00Z,https://d-nb.info/gnd/118558293
581,Clarence Elwood Keiser,Clarence Elwood Keiser,http://www.wikidata.org/wiki/Q59627719,Person,1884-10-12T00:00:00Z,1958-07-21T00:00:00Z,https://d-nb.info/gnd/172522358
582,Paul Koschaker,Paul Koschaker,http://www.wikidata.org/wiki/Q114526,Person,1879-04-19T00:00:00Z,1951-06-01T00:00:00Z,https://d-nb.info/gnd/118565621
583,Hans Martin Kümmel,Hans Martin Kümmel,http://www.wikidata.org/wiki/Q15428381,Person,1937-12-30T00:00:00Z,1986-07-30T00:00:00Z,https://d-nb.info/gnd/1262065836
584,Jørgen Læssøe,Jørgen Læssøe,http://www.wikidata.org/wiki/Q12320831,Person,1924-06-26T00:00:00Z,1993-02-02T00:00:00Z,https://d-nb.info/gnd/172215307
585,Georges Lampre,Georges Lampre,http://www.wikidata.org/wiki/Q29057473,Person,1855-06-21T00:00:00Z,1912-05-08T00:00:00Z,
586,Carl Ferdinand Friedrich Lehmann-Haupt,Carl Ferdinand Friedrich Lehmann-Haupt,http://www.wikidata.org/wiki/Q124547,Person,1861-03-11T00:00:00Z,1938-07-24T00:00:00Z,https://d-nb.info/gnd/116872381
587,Julius Lewy,Julius Lewy,http://www.wikidata.org/wiki/Q55847835,Person,1895-01-01T00:00:00Z,1963-01-01T00:00:00Z,https://d-nb.info/gnd/116977922
588,Stephen Lieberman,Stephen Lieberman,http://www.wikidata.org/wiki/Q111147846,Person,,,
589,Henry Frederick Lutz,Henry Frederick Lutz,http://www.wikidata.org/wiki/Q105382614,Person,1886-01-01T00:00:00Z,,https://d-nb.info/gnd/1029392714
590,Max Mallowan,Max Mallowan,http://www.wikidata.org/wiki/Q454442,Person,1904-05-06T00:00:00Z,1978-08-19T00:00:00Z,https://d-nb.info/gnd/119492350
591,Lubor Matouš,Lubor Matouš,http://www.wikidata.org/wiki/Q1872883,Person,1908-11-02T00:00:00Z,1994-04-02T00:00:00Z,https://d-nb.info/gnd/121796906
592,Theophile Meek,Theophile Meek,http://www.wikidata.org/wiki/Q7782268,Person,1881-01-01T00:00:00Z,1966-01-01T00:00:00Z,https://d-nb.info/gnd/1037829158
593,Petrus Emmanuel van der Meer,Petrus Emmanuel van der Meer,http://www.wikidata.org/wiki/Q83495915,Person,1895-04-30T00:00:00Z,1963-05-31T00:00:00Z,https://d-nb.info/gnd/122641035
594,Machteld Mellink,Machteld Mellink,http://www.wikidata.org/wiki/Q533573,Person,1917-10-26T00:00:00Z,2006-02-23T00:00:00Z,https://d-nb.info/gnd/101049862
595,Piero Meriggi,Piero Meriggi,http://www.wikidata.org/wiki/Q3903300,Person,1899-01-12T00:00:00Z,1982-06-29T00:00:00Z,https://d-nb.info/gnd/102756791
596,Eduard Meyer,Eduard Meyer,http://www.wikidata.org/wiki/Q76894,Person,1855-01-25T00:00:00Z,1930-08-31T00:00:00Z,https://d-nb.info/gnd/118733281
597,Jacques de Morgan,Jacques de Morgan,http://www.wikidata.org/wiki/Q541964,Person,1857-06-03T00:00:00Z,1924-06-12T00:00:00Z,https://d-nb.info/gnd/117144037
598,Roger Moorey,Roger Moorey,http://www.wikidata.org/wiki/Q7358676,Person,1937-05-30T00:00:00Z,2004-12-23T00:00:00Z,https://d-nb.info/gnd/129891185
