Source,Target,Type,Id,Label,Weight,Art der Beziehung
346,15,Directed,509,studiert an,1,studiert an
346,27,Directed,510,angestellt bei,1,angestellt bei
346,16,Directed,511,angestellt bei,1,angestellt bei
346,111,Directed,512,angestellt bei,1,angestellt bei
348,12,Directed,515,angestellt bei,1,angestellt bei
348,181,Directed,516,Mitglied von,1,Mitglied von
348,25,Directed,517,angestellt bei,1,angestellt bei
348,182,Directed,518,Mitglied von,1,Mitglied von
349,17,Directed,520,angestellt bei,1,angestellt bei
349,18,Directed,522,studiert an,1,studiert an
349,112,Directed,523,angestellt bei,1,angestellt bei
349,113,Directed,524,angestellt bei,1,angestellt bei
350,114,Directed,525,angestellt bei,1,angestellt bei
350,18,Directed,526,angestellt bei,1,angestellt bei
352,19,Directed,527,studiert an,1,studiert an
352,25,Directed,528,angestellt bei,1,angestellt bei
352,20,Directed,529,studiert an,1,studiert an
353,12,Directed,530,angestellt bei,1,angestellt bei
354,21,Directed,531,studiert an,1,studiert an
354,115,Directed,532,angestellt bei,1,angestellt bei
355,22,Directed,533,studiert an,1,studiert an
355,116,Directed,534,angestellt bei,1,angestellt bei
355,117,Directed,535,angestellt bei,1,angestellt bei
356,23,Directed,536,angestellt bei,1,angestellt bei
357,175,Directed,538,Mitglied von,1,Mitglied von
357,170,Directed,539,Mitglied von,1,Mitglied von
359,12,Directed,540,angestellt bei,1,angestellt bei
359,118,Directed,541,angestellt bei,1,angestellt bei
362,174,Directed,542,Mitglied von,1,Mitglied von
362,119,Directed,543,angestellt bei,1,angestellt bei
364,24,Directed,544,studiert an,1,studiert an
364,74,Directed,545,angestellt bei,1,angestellt bei
365,120,Directed,546,angestellt bei,1,angestellt bei
366,25,Directed,547,angestellt bei,1,angestellt bei
366,26,Directed,549,studiert an,1,studiert an
366,27,Directed,550,studiert an,1,studiert an
366,28,Directed,551,studiert an,1,studiert an
367,183,Directed,552,Mitglied von,1,Mitglied von
367,9,Directed,553,angestellt bei,1,angestellt bei
368,9,Directed,554,angestellt bei,1,angestellt bei
368,170,Directed,555,Mitglied von,1,Mitglied von
368,55,Directed,556,angestellt bei,1,angestellt bei
368,184,Directed,557,Mitglied von,1,Mitglied von
368,87,Directed,559,angestellt bei,1,angestellt bei
369,29,Directed,560,studiert an,1,studiert an
369,35,Directed,561,angestellt bei,1,angestellt bei
369,12,Directed,562,angestellt bei,1,angestellt bei
370,170,Directed,563,Mitglied von,1,Mitglied von
370,121,Directed,564,angestellt bei,1,angestellt bei
371,175,Directed,565,Mitglied von,1,Mitglied von
371,5,Directed,566,angestellt bei,1,angestellt bei
371,106,Directed,567,angestellt bei,1,angestellt bei
372,9,Directed,568,angestellt bei,1,angestellt bei
372,55,Directed,569,angestellt bei,1,angestellt bei
372,170,Directed,572,Mitglied von,1,Mitglied von
372,184,Directed,573,Mitglied von,1,Mitglied von
373,30,Directed,575,angestellt bei,1,angestellt bei
373,50,Directed,576,angestellt bei,1,angestellt bei
375,31,Directed,578,studiert an,1,studiert an
375,83,Directed,579,angestellt bei,1,angestellt bei
376,7,Directed,580,studiert an,1,studiert an
376,112,Directed,581,angestellt bei,1,angestellt bei
376,32,Directed,582,studiert an,1,studiert an
376,91,Directed,583,angestellt bei,1,angestellt bei
376,122,Directed,584,angestellt bei,1,angestellt bei
378,33,Directed,585,studiert an,1,studiert an
378,34,Directed,586,studiert an,1,studiert an
380,35,Directed,587,studiert an,1,studiert an
380,123,Directed,588,angestellt bei,1,angestellt bei
380,12,Directed,589,studiert an,1,studiert an
381,36,Directed,590,studiert an,1,studiert an
381,65,Directed,591,angestellt bei,1,angestellt bei
382,427,Directed,592,Schüler*in von,1,Schüler*in von
382,1,Directed,593,angestellt bei,1,angestellt bei
382,124,Directed,595,angestellt bei,1,angestellt bei
382,290,Directed,596,Schüler*in von,1,Schüler*in von
382,449,Directed,597,Schüler*in von,1,Schüler*in von
382,570,Directed,598,Schüler*in von,1,Schüler*in von
382,540,Directed,599,Schüler*in von,1,Schüler*in von
383,187,Directed,606,Mitglied von,1,Mitglied von
384,19,Directed,608,studiert an,1,studiert an
384,126,Directed,609,angestellt bei,1,angestellt bei
385,38,Directed,610,studiert an,1,studiert an
385,174,Directed,611,Mitglied von,1,Mitglied von
